write ./outputs/a.txt hello  	 <1>
write ./outputs/a.txt I  	 <12>
write ./outputs/a.txt am 	 <12>
write ./outputs/a.txt Willy 	 <12>
write ./outputs/a.txt   	 <12>
write ./outputs/a.txt hello  	 <13>
write ./outputs/a.txt world  	 <13>
write ./outputs/a.txt I  	 <13>
write ./outputs/a.txt am 	 <13>
write ./outputs/a.txt Willy 	 <13>
write ./outputs/a.txt   	 <13>
write ./outputs/a.txt hello  	 <14>
write ./outputs/a.txt world  	 <14>
write ./outputs/a.txt I  	 <14>
write ./outputs/a.txt am 	 <14>
write ./outputs/a.txt Willy 	 <14>
write ./outputs/a.txt   	 <14>
write ./outputs/a.txt hello  	 <15>
write ./outputs/a.txt world  	 <15>
write ./outputs/a.txt I  	 <15>
write ./outputs/a.txt am 	 <15>
write ./outputs/a.txt Willy 	 <15>
write ./outputs/a.txt   	 <15>
write ./outputs/a.txt hello  	 <16>
write ./outputs/a.txt world  	 <16>
write ./outputs/a.txt I  	 <16>
write ./outputs/a.txt am 	 <16>
write ./outputs/a.txt Willy 	 <16>
write ./outputs/a.txt   	 <16>
write ./outputs/a.txt hello  	 <17>
write ./outputs/a.txt world  	 <17>
write ./outputs/a.txt I  	 <17>
write ./outputs/a.txt am 	 <17>
write ./outputs/a.txt Willy 	 <17>
write ./outputs/a.txt   	 <17>
write ./outputs/a.txt hello  	 <18>
write ./outputs/a.txt world  	 <18>
write ./outputs/a.txt I  	 <18>
write ./outputs/a.txt am 	 <18>
write ./outputs/a.txt Willy 	 <18>
write ./outputs/a.txt   	 <18>
write ./outputs/a.txt hello  	 <19>
write ./outputs/a.txt world  	 <19>
write ./outputs/a.txt I  	 <19>
write ./outputs/a.txt am 	 <19>
write ./outputs/a.txt Willy 	 <19>
write ./outputs/a.txt   	 <19>
write ./outputs/a.txt hello  	 <20>
write ./outputs/a.txt world  	 <20>
write ./outputs/a.txt I  	 <20>
write ./outputs/a.txt am 	 <20>
write ./outputs/a.txt Willy 	 <20>
write ./outputs/a.txt   	 <20>
write ./outputs/a.txt hello  	 <21>
write ./outputs/a.txt world  	 <21>
write ./outputs/a.txt I  	 <21>
write ./outputs/a.txt am 	 <21>
write ./outputs/a.txt Willy 	 <21>
write ./outputs/a.txt   	 <21>
write ./outputs/a.txt hello  	 <22>
write ./outputs/a.txt world  	 <22>
write ./outputs/a.txt I  	 <22>
write ./outputs/a.txt am 	 <22>
write ./outputs/a.txt Willy 	 <22>
write ./outputs/a.txt   	 <22>
write ./outputs/a.txt hello  	 <23>
write ./outputs/a.txt world  	 <23>
write ./outputs/a.txt I  	 <23>
write ./outputs/a.txt am 	 <23>
write ./outputs/a.txt Willy 	 <23>
write ./outputs/a.txt   	 <23>
write ./outputs/a.txt hello  	 <24>
write ./outputs/a.txt world  	 <24>
write ./outputs/a.txt I  	 <24>
write ./outputs/a.txt am 	 <24>
write ./outputs/a.txt Willy 	 <24>
write ./outputs/a.txt   	 <24>
write ./outputs/a.txt hello  	 <25>
write ./outputs/a.txt world  	 <25>
write ./outputs/a.txt I  	 <25>
write ./outputs/a.txt am 	 <25>
write ./outputs/a.txt Willy 	 <25>
write ./outputs/a.txt   	 <25>
write ./outputs/a.txt hello  	 <26>
write ./outputs/a.txt world  	 <26>
write ./outputs/a.txt I  	 <26>
write ./outputs/a.txt am 	 <26>
write ./outputs/a.txt Willy 	 <26>
write ./outputs/a.txt   	 <26>
write ./outputs/a.txt hello  	 <27>
write ./outputs/a.txt world  	 <27>
write ./outputs/a.txt I  	 <27>
write ./outputs/a.txt am 	 <27>
write ./outputs/a.txt Willy 	 <27>
write ./outputs/a.txt   	 <27>
write ./outputs/a.txt hello  	 <28>
write ./outputs/a.txt world  	 <28>
write ./outputs/a.txt I  	 <28>
write ./outputs/a.txt am 	 <28>
write ./outputs/a.txt Willy 	 <28>
write ./outputs/a.txt   	 <28>
write ./outputs/a.txt hello  	 <29>
write ./outputs/a.txt world  	 <29>
write ./outputs/a.txt I  	 <29>
write ./outputs/a.txt am 	 <29>
write ./outputs/a.txt Willy 	 <29>
write ./outputs/a.txt   	 <29>
write ./outputs/a.txt hello  	 <30>
write ./outputs/a.txt world  	 <30>
write ./outputs/a.txt I  	 <30>
write ./outputs/a.txt am 	 <30>
write ./outputs/a.txt Willy 	 <30>
write ./outputs/a.txt   	 <30>
